2588741.000000,
60941.343750,
65560.773438,
89240.382812,
145879.234375,
668093.000000,
-222091.062500,
-90340.101562,
-54732.406250,
-39114.789062,
-31247.980469,
-24465.650391,
-21438.009766,
-17188.154297,
-16785.562500,
-14887.092773,
-12984.383789,
-12225.028320,
-11720.870117,
-11247.189453,
-9269.718750,
-9179.347656,
-8968.740234,
-8119.526367,
-8243.015625,
-7999.424805,
-7939.876465,
-6973.662598,
-6910.235352,
-6981.664551,
-6972.246094,
-6744.220703,
-6907.308594,
-6295.678223,
-6870.326172,
-6568.630371,
-6627.331543,
-6891.546387,
-6360.368652,
-6275.845703,
-6099.186523,
-6509.857422,
-6462.022461,
-6287.988770,
-6175.604004,
-6302.731445,
-6040.639160,
-6178.257324,
-5894.504883,
-5932.199219,
-5753.668945,
-5680.171875,
-5782.713867,
-5644.740723,
-5794.841309,
-5402.821289,
-5435.821289,
-5378.577637,
-5214.907715,
-5465.197266,
-5376.289062,
-5315.580566,
-5308.549805,
-5224.542480,
-5333.583008,
-5379.745117,
-5407.422852,
-5271.156250,
-5302.549316,
-5212.694824,
-5216.449707,
-5359.694824,
-5424.763184,
-5250.006836,
-5417.498047,
-5049.167969,
-5389.409180,
-5310.694336,
-5253.910645,
-5300.154785,
-5235.824707,
-5155.588379,
-5245.431152,
-4861.919922,
-4873.942383,
-4966.202637,
-4820.290527,
-4970.233887,
-4956.621582,
-5098.455566,
-4670.957520,
-4741.527832,
-4779.292480,
-4708.719238,
-4526.714844,
-5150.429199,
-4827.692383,
-4815.724609,
-4667.983887,
-4953.143555,
-4809.892578,
-4929.639160,
-4777.030273,
-4721.879395,
-4907.561523,
-4834.791992,
-4824.073730,
-5055.579590,
-4754.903809,
-4829.676758,
-4711.190918,
-4740.161621,
-4698.409668,
-4668.599121,
-4547.961914,
-4537.991211,
-4887.011719,
-4699.181152,
-4507.060547,
-4585.198730,
-4455.725098,
-4465.425293,
-4514.979492,
-4481.313965,
-4555.482422,
-4298.239746,
-4590.577637,
-4348.082031,
-4305.579590,
-4354.577148,
-4498.772949,
-4381.718750,
-4256.204590,
-4234.292969,
-4398.483887,
-4473.317383,
-4394.472168,
-4323.976074,
-4315.813477,
-4348.882812,
-4259.990723,
-4304.919922,
-4484.059570,
-4182.710938,
-4221.608887,
-4176.487793,
-4220.162109,
-4382.941895,
-3986.954834,
-4070.570068,
-4048.013672,
-3965.949707,
-4140.434570,
-3750.361084,
-3912.786377,
-3784.873047,
-3789.272705,
-3938.185303,
-3869.045654,
-3804.850098,
-3821.777832,
-3826.212646,
-3807.775391,
-3791.133789,
-3871.689941,
-3898.692139,
-3811.195557,
-3812.415039,
-3669.285645,
-3883.563477,
-3858.469727,
-3761.988770,
-3756.033203,
-3615.378662,
-3942.057373,
-3678.064209,
-3772.021973,
-3654.489502,
-3551.968506,
-3672.805908,
-3571.587158,
-3656.544678,
-3592.506104,
-3437.798584,
-3888.896484,
-3410.781006,
-3427.425049,
-3350.441162,
-3298.476807,
-3372.083984,
-3357.934082,
-3233.616455,
-3429.714355,
-3402.077881,
-3459.261475,
-3062.282715,
-3215.259766,
-3285.869629,
-3264.868652,
-3235.233887,
-3237.907227,
-3146.849365,
-3262.205078,
-3090.171631,
-3285.201904,
-3332.371826,
-3068.266602,
-3098.343506,
-3043.164307,
-3083.690430,
-2668.401611,
-3162.344727,
-3219.520996,
-2910.448486,
-3061.156982,
-2944.935303,
-2945.302490,
-2843.127197,
-2775.749023,
-2895.077148,
-2815.767090,
-2708.553467,
-2801.172363,
-2700.868408,
-2766.756836,
-2603.362549,
-2574.865479,
-2845.854980,
-2658.008789,
-2711.590820,
-2652.728027,
-2709.047119,
-2592.329834,
-2606.159912,
-2669.496094,
-2592.650879,
-2606.706543,
-2508.185791,
-2557.941895,
-2593.307617,
-2626.062988,
-2388.861328,
-2143.741455,
-2383.536865,
-2485.770752,
-2304.908203,
-2364.371094,
-2372.610596,
-2304.965088,
-2344.520020,
-2246.500000,
-2284.650146,
-2244.726318,
-2183.040771,
-2117.612549,
-2079.925049,
-2253.352539,
-2168.780518,
-2106.158936,
-2040.040283,
-1937.221924,
-1945.859741,
-2104.869141,
-2175.349365,
-2037.005127,
-1955.358154,
-2004.196045,
-1934.779663,
-2242.114258,
-1993.271606,
-1813.212158,
-1860.677002,
-1917.149414,
-1860.179932,
-1787.869751,
-1815.025757,
-1777.536011,
-1759.860107,
-1782.107422,
-1398.905762,
-1640.285767,
-1624.737061,
-1617.881714,
-1543.794189,
-1699.746948,
-1583.952393,
-1551.569702,
-1540.937378,
-1471.548462,
-1517.987305,
-1482.633545,
-1474.103027,
-1435.310913,
-1399.819336,
-1481.131958,
-1424.467407,
-1425.251465,
-1476.532959,
-1364.674683,
-1291.644897,
-1515.567261,
-1332.887817,
-1363.216064,
-1373.470581,
-1171.191895,
-1342.082764,
-1184.078735,
-1116.078369,
-1099.505859,
-1103.070190,
-1005.611084,
-1130.289307,
-1054.142944,
-1036.926514,
-972.497559,
-984.298706,
-980.195068,
-943.259705,
-870.004761,
-937.134033,
-918.434448,
-996.216614,
-942.361511,
-872.082031,
-821.921997,
-929.112610,
-1105.278564,
-869.875366,
-806.025940,
-745.675964,
-697.905457,
-542.803711,
-900.145691,
-840.561340,
-671.068787,
-792.867493,
-746.794495,
-701.377319,
-651.606628,
-687.512085,
-632.046753,
-512.458923,
-519.901001,
-557.704407,
-617.326111,
-512.995239,
-456.986938,
-420.802124,
-546.320312,
-496.660187,
-411.720276,
-404.190674,
-343.857483,
-414.777252,
-296.264709,
-439.581604,
-411.101776,
-314.229431,
-282.849640,
-420.378052,
-353.375580,
-414.624054,
-323.599335,
-189.652679,
-248.047791,
-176.733871,
-269.531219,
-229.298203,
69.086624,
-211.822159,
-109.462402,
-3.830643,
-102.426712,
140.052765,
-177.979248,
29.896759,
41.542831,
5.876495,
-90.221252,
-3.743820,
-86.996811,
15.392700,
39.969315,
79.885880,
96.329468,
167.714508,
42.478607,
164.514832,
243.983948,
249.507507,
148.863358,
173.354248,
122.031342,
279.999084,
261.548950,
173.791870,
232.815521,
288.699738,
366.297211,
365.433960,
84.062119,
226.136719,
376.316010,
261.286957,
339.622986,
292.165680,
461.797821,
456.133057,
280.113983,
486.025482,
575.768555,
466.998962,
435.035675,
439.488678,
457.023132,
317.130615,
630.252502,
608.999084,
673.212341,
673.315857,
563.668091,
448.825806,
503.991791,
646.385925,
509.308258,
662.062561,
647.644714,
650.306030,
580.596924,
628.182373,
624.193970,
919.882507,
510.485718,
680.232483,
719.261108,
791.669434,
793.267273,
691.504639,
816.458801,
871.381775,
659.824524,
842.091125,
802.930420,
822.991699,
782.726013,
866.131653,
848.588928,
732.110962,
783.265686,
878.627686,
898.703308,
1116.624268,
1066.276245,
808.257751,
779.604492,
900.081726,
756.420105,
834.817566,
1072.494507,
954.835632,
855.870483,
984.739258,
903.486206,
961.693359,
964.471497,
981.051086,
943.297424,
982.799561,
1002.225159,
1046.613159,
1022.118103,
1046.746948,
904.614441,
1008.749878,
1135.245972,
1131.739258,
1156.607910,
1224.000610,
1172.559204,
1111.003540,
1101.560181,
1345.856201,
1070.548950,
1244.867554,
1139.547607,
1217.943481,
1197.900879,
1181.302002,
1148.790649,
969.385437,
1152.658569,
1152.385498,
1159.771973,
1204.862793,
1047.552979,
1090.483154,
1182.542358,
1204.963623,
1182.331665,
1109.863403,
1178.232788,
1321.593018,
1171.038330,
1247.845093,
1233.246948,
1288.753906,
1277.232178,
1254.680176,
1272.691528,
1329.448975,
1139.557251,
1302.764282,
1225.780762,
1249.038086,
1412.394775,
1219.728638,
1283.652466,
1208.744141,
1324.612793,
1301.500732,
1276.923584,
1294.571899,
1276.178101,
1325.677856,
1340.789917,
1344.052246,
1157.785767,
1279.349487,
1227.669800,
1316.831787,
1258.440186,
1314.241089,
1280.937012,
1314.050537,
1361.494995,
1248.741699,
1304.703125,
1317.675903,
1392.352173,
1481.798218,
1422.460449,
1497.398682,
1165.512085,
1303.504761,
